biosample_id original_sample_name
29266 ST1_1542_2_BM
29267 ST1_1646_1_BM
29268 ST1_1647_1_BM
29269 ST1_1778_1_BM
29270 ST1_2058_1_BM
29271 ST1_2079_1_BM
29272 ST1_2143_1_BM
29273 ST1_2204_1_BM
29274 ST1_2204_2_BM
29275 ST1_2362_1_BM
29276 ST1_2487_1_BM
29277 ST1_2581_1_BM
29278 ST1_2055_1_BM
29279 ST1_2253_1_BM
29280 ST1_1349_1_BM
29281 ST1_1332_1_BM
29282 ST1_1332_3_BM
29283 ST1_1365_1_BM
29284 ST1_1425_1_BM
29285 ST1_1451_1_BM
29286 ST1_1501_1_BM
29287 ST1_1525_1_BM
29288 ST1_1519_1_BM
29289 ST1_1627_1_BM
29290 ST1_1627_3_BM
29291 ST1_1633_1_BM
29292 ST1_1639_1_BM
29293 ST1_1639_2_BM
29294 ST1_1639_3_BM
29295 ST1_1645_1_BM
29296 ST1_1651_1_BM
29297 ST1_1650_1_BM
29298 ST1_1650_2_BM
29299 ST1_1672_1_BM
29300 ST1_1780_1_BM
29301 ST1_1897_1_BM
29302 ST1_1922_1_BM
29303 ST1_1945_1_BM
29304 ST1_1994_1_BM
29305 ST1_2160_1_BM
29306 ST1_2478_1_BM
29307 ST1_2505_1_BM
29308 ST1_2504_1_BM
29309 ST1_2523_1_BM
29310 ST1_2523_2_BM
29311 ST1_1607_1_BM
29312 ST1_1605_1_BM
29313 ST1_1605_3_BM
29314 ST1_1939_1_BM
29315 ST1_2035_1_BM
29316 ST1_2493_1_BM
29317 ST1_1820_1_BM
29318 ST1_2115_1_BM
29319 ST1_2269_1_BM
29320 ST1_2026_1_BM
29321 ST1_2436_1_BM
29322 ST1_1486_1_BM
29323 ST1_1671_1_BM
29324 ST1_1671_2_BM
29325 ST1_1671_3_BM
29326 ST1_1671_4_BM
29327 ST1_1671_5_BM
29328 ST1_1720_1_BM
29329 ST1_1912_1_BM
29330 ST1_1912_3_PB
29331 ST1_1505_1_BM
29332 ST1_1782_1_BM
29333 ST1_2203_1_BM
29334 ST1_1533_1_BM
29335 ST1_1533_2_BM
29336 ST1_1580_1_BM
29337 ST1_2113_1_BM
29338 ST1_1499_1_BM
29339 ST1_1512_1_BM
29340 ST1_1577_1_BM
29341 ST1_1589_1_BM
29342 ST1_1715_1_BM
29343 ST1_1867_1_BM
29344 ST1_1873_1_BM
29345 ST1_1910_1_BM
29346 ST1_1927_1_BM
29347 ST1_2265_1_BM
29348 ST1_2563_1_BM
29349 ST1_1597_1_BM
29350 ST1_1610_1_BM
29351 ST1_1614_1_BM
29352 ST1_1638_1_BM
29353 ST1_1655_1_BM
29354 ST1_1856_1_BM
29355 ST1_2170_1_BM
29356 ST1_2279_1_BM
29357 ST1_2288_1_BM
29358 ST1_1676_1_BM
29359 ST1_1725_1_BM
29360 ST1_1771_1_BM
29361 ST1_1777_1_BM
29362 ST1_1785_1_BM
29363 ST1_1792_1_BM
29364 ST1_1805_1_BM
29365 ST1_1846_1_BM
29366 ST1_1845_1_BM
29367 ST1_1928_1_BM
29368 ST1_1960_1_BM
29369 ST1_2174_1_BM
29370 ST1_2251_1_BM
29371 ST1_2428_1_BM
29372 ST1_1555_1_BM
29373 ST1_1564_1_BM
29374 ST1_1569_1_BM
29375 ST1_1574_1_BM
29376 ST1_1593_1_BM
29377 ST1_1618_1_BM
29378 ST1_1717_1_BM
29379 ST1_1726_1_BM
29380 ST1_1763_1_BM
29381 ST1_1847_1_BM
29382 ST1_1888_1_BM
29383 ST1_1915_1_BM
29384 ST1_2041_1_BM
29385 ST1_2064_2_BM
29386 ST1_2409_1_BM
29387 ST1_1750_1_BM
29388 ST1_2019_1_BM
29389 ST1_2377_1_BM
29390 ST1_2380_1_BM
29391 ST1_2402_1_BM
29392 ST1_1930_1_BM
29393 ST1_2167_1_BM
29394 ST1_2167_3_PB
29395 ST1_1456_1_BM
29396 ST1_1535_1_BM
29397 ST1_2112_1_BM
29398 ST1_2151_1_BM
29399 ST1_2379_1_BM
29400 ST1_1882_1_BM
29401 ST1_2015_1_BM
29402 ST1_2015_2_BM
29403 ST1_2187_1_BM
29404 ST1_2386_1_BM
29405 ST1_1644_1_BM
29406 ST1_2118_1_BM
29407 ST1_2138_1_BM
29408 ST1_1706_1_BM
29409 ST1_1881_1_BM
29410 ST1_1972_1_BM
29411 ST1_2007_1_BM
29412 ST1_1977_1_BM
29413 ST1_2012_1_BM
29414 ST1_2106_1_BM
29415 ST1_2125_1_BM
29416 ST1_2525_1_BM
29417 ST1_1753_1_BM
29418 ST1_1786_1_BM
29419 ST1_1793_1_BM
29420 ST1_1816_1_BM
29421 ST1_1842_1_BM
29422 ST1_1858_1_BM
29423 ST1_1886_1_BM
29424 ST1_2074_1_BM
29425 ST1_2093_1_BM
29426 ST1_2266_1_BM
29427 ST1_2306_1_BM
29428 ST1_2486_1_BM
29429 ST1_2497_1_BM
29430 ST1_2501_1_BM
29431 ST1_2557_1_BM
29432 ST1_2087_1_BM
29433 ST1_2141_1_BM
29434 ST1_2149_1_BM
29435 ST1_2153_1_BM
29436 ST1_2191_1_BM
29437 ST1_2228_1_BM
29438 ST1_2301_1_BM
29439 ST1_1766_1_BM
29440 ST1_1824_1_BM
29441 ST1_1879_1_BM
29442 ST1_2006_1_BM
29443 ST1_2047_1_BM
29444 ST1_2116_1_BM
29445 ST1_2201_1_BM
29446 ST1_2232_1_BM
29447 ST1_2425_1_BM
29448 ST1_2440_1_BM
29449 ST1_2485_1_BM
29450 ST1_2566_1_BM
29451 ST1_2590_1_BM
29452 ST1_2622_1_BM
29453 ST1_2147_1_BM
29454 ST1_2419_1_BM
29455 ST1_2419_2_BM
29456 ST1_2438_1_BM
29457 ST1_2517_1_BM
